1995	4	13.5	202.5	63	15
1995	5	18.3	200	68	7
1995	6	21.5	99.5	70	15
1995	7	26.5	368.5	76	7
1995	8	30.1	51	60	15
1995	9	23	105	66	15
1995	10	18.7	98	66	15
1995	11	10.1	58	61	15
1995	12	5.2	3.5	60	15
1996	1	4.5	21	63	15
1996	2	3.8	30.5	57	15
1996	3	7.8	202	64	14
1996	4	12	34.5	54	14
1996	5	18.4	104	63	14
1996	6	22.7	176	78	7
1996	7	26.9	135.5	73	7
1996	8	27	101.5	73	7
1996	9	22.5	104	75	15
1996	10	17.3	106	71	15
1996	11	12	82.5	73	15
1996	12	6.9	59.5	73	15
1997	1	4.3	21.5	68	15
1997	2	4.8	27.5	62	14
1997	3	9.6	86	57	14
1997	4	14.7	131.5	61	15
1997	5	18.9	162.5	72	14
1997	6	22.7	150	75	7
1997	7	25.8	450	80	7
1997	8	27.4	62.5	72	7
1997	9	23.6	218	74	15
1997	10	16.9	9.5	66	15
1997	11	12.8	229.5	70	15
1997	12	7.7	61.5	69	15
1998	1	4.5	154.5	73	15
1998	2	6.8	88.5	66	15
1998	3	9.8	94	58	15
1998	4	17.2	212	73	7
1998	5	20.3	271.5	76	7
1998	6	22.4	203	79	15
1998	7	26.8	242	75	7
1998	8	28.5	119.5	73	7
1998	9	24.7	279.5	79	15
1998	10	19.9	268	78	15
1998	11	12.1	7	68	15
1998	12	8.2	40	70	15
1999	1	4.7	33.5	72	15
1999	2	4.8	54.5	66	14
1999	3	9.9	102	66	15
1999	4	14.4	100.5	67	15
1999	5	19.5	176.5	65	7
1999	6	22.8	315.5	76	7
1999	7	26	161	79	7
1999	8	27.9	169	76	6
1999	9	25.8	355	81	7
1999	10	19.2	68	68	15
1999	11	12.8	92	70	15
1999	12	6.8	1	65	15
2000	1	6.1	56.5	64	15
2000	2	3.5	34	65	14
2000	3	7.6	106.5	59	14
2000	4	13.8	150	59	15
2000	5	19.9	115.5	68	7
2000	6	22.6	236	76	7
2000	7	28	74.5	68	7
2000	8	28.8	17	66	7
2000	9	24.9	707.5	68	7
2000	10	18.9	135	70	15
2000	11	13.7	74	68	15
2000	12	7	29	66	15
2001	1	3.6	134	66	15
2001	2	5.5	46	59	14
2001	3	8.5	69.5	60	14
2001	4	14.8	25	55	15
2001	5	19.9	150	65	6
2001	6	23.3	161.5	70	7
2001	7	28.5	29	65	7
2001	8	27.4	378.5	69	7
2001	9	23.7	169.5	67	15
2001	10	18.4	166	67	15
2001	11	11.6	52	62	15
2001	12	6.7	34	63	15
2002	1	4.9	88.5	67	15
2002	2	6.1	31	60	15
2002	3	10.4	111	55	14
2002	4	15.8	94	59	14
2002	5	19	95	65	15
2002	6	22.8	89.5	65	7
2002	7	27.8	150	71	7
2002	8	28.5	19	62	7
2002	9	24	108	65	15
2002	10	18	163.5	64	15
2002	11	9.4	44	64	15
2002	12	6.7	89	65	15
2003	1	3.8	95	61	14
2003	2	5.9	60.5	56	15
2003	3	7.9	110.5	52	15
2003	4	14.8	193	66	15
2003	5	19.1	114	68	7
2003	6	22.6	162	74	7
2003	7	23.7	379.5	81	7
2003	8	26.9	324.5	77	7
